"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"407","Epithelial 1","Macrophages","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"408","Epithelial 2","Macrophages","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"409","Epithelial 3","Macrophages","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"410","Epithelial 4","Macrophages","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"411","Epithelial 5","Macrophages","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"412","Epithelial 6","Macrophages","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"413","Unknown","Macrophages","ANGPTL4","SDC2",0.00117782458266272,0.03,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"414","Epithelial 1","Epithelial 6","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"415","Epithelial 2","Epithelial 6","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"416","Epithelial 3","Epithelial 6","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"417","Epithelial 4","Epithelial 6","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"418","Epithelial 5","Epithelial 6","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"419","Epithelial 6","Epithelial 6","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"420","Unknown","Epithelial 6","ANGPTL4","SDC2",0.00117782458266272,0.03,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"421","Epithelial 1","Unknown","ANGPTL4","SDC2",0.00117782458266272,0.01,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"422","Epithelial 2","Unknown","ANGPTL4","SDC2",0.00117782458266272,0.01,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"423","Epithelial 3","Unknown","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"424","Epithelial 4","Unknown","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"425","Epithelial 5","Unknown","ANGPTL4","SDC2",0.00117782458266272,0.01,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"426","Epithelial 6","Unknown","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"427","Unknown","Unknown","ANGPTL4","SDC2",0.00117782458266272,0.03,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"428","Epithelial 1","Epithelial 1","ANGPTL4","SDC4",0.00420964015455655,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"429","Epithelial 2","Epithelial 1","ANGPTL4","SDC4",0.00420964015455655,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"430","Epithelial 3","Epithelial 1","ANGPTL4","SDC4",0.00665573216829058,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"431","Epithelial 4","Epithelial 1","ANGPTL4","SDC4",0.014928948828434,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"432","Epithelial 5","Epithelial 1","ANGPTL4","SDC4",0.00420964015455655,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"433","Epithelial 6","Epithelial 1","ANGPTL4","SDC4",0.014928948828434,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"434","Unknown","Epithelial 1","ANGPTL4","SDC4",0.00420964015455655,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"435","Epithelial 1","Epithelial 2","ANGPTL4","SDC4",0.00117782458266272,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"436","Epithelial 2","Epithelial 2","ANGPTL4","SDC4",0.00117782458266272,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"437","Epithelial 3","Epithelial 2","ANGPTL4","SDC4",0.00186552248227367,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
