Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Cholangiocyte,11,15.09,HINT1|PTPRK|NFIB|RPS18|MAGI1|RPL9|RPS7|RPL3,1015
cvLSECs,11,40,FLT1|BTNL9|ST6GALNAC3|LDB2|PTPRB|PREX2|CD36|PLCB1|TACC1|NOSTRIN|HECW2|RELN|KALRN|TFPI,1015
Erythroid,11,0,,1015
InfMac,11,10.61,HLA-B|FTL|NEAT1|B2M|RPL10|RPS14|RPS27,1015
InterHep,11,36.84,ASGR1|PLG|APOA2|ACSM2B|AGXT|ACSM2A|CYB5A,1015
NKTcell,11,23.08,FYN|MALAT1|HLA-B|HLA-A|B2M|RPS27,1015
NonInfMac,11,4.35,RPS7|RPL3,1015
PortalEndo,11,53.19,FLT1|BTNL9|ST6GALNAC3|LDB2|CALCRL|TCF4|PTPRB|HSPG2|RBMS3|PLCB1|PLPP1|AKT3|TACC1|IGFBP7|TIMP3|NOSTRIN|HECW2|ASAP1|KALRN|ZEB1|PTPRG|DUSP1|BMPR2|TFPI|MEIS2,1015
PortalHep,11,36.84,ASGR1|PLG|ACSM2B|AGXT|MLXIPL|NEAT1|ACSM2A,1015
Stellate,11,23.81,RBMS3|IGFBP7|PTPRG|NR1H4|SOX5,1015
Bcells,12,2.08,RPL31,396
CentralHep,12,4.88,CPS1|SORBS2,396
Cholangiocyte,12,1.89,SORBS2,396
cvLSECs,12,0,,396
Erythroid,12,7.14,STRADB,396
InfMac,12,3.03,S100A6|NEAT1,396
InterHep,12,5.26,SORBS2,396
NKTcell,12,3.85,MALAT1,396
NonInfMac,12,0,,396
PortalEndo,12,6.38,TM4SF1|DUSP1|TIMP3,396
PortalHep,12,10.53,FGB|NEAT1,396
Stellate,12,0,,396
