Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
NonInfMac,15,10.87,MT-ND5|SAT1|UQCRB|RPL3|GAPDH,405
PortalEndo,15,12.77,TM4SF1|HSP90B1|DUSP1|UQCRB|TFPI|TIMP3,405
PortalHep,15,15.79,FGB|NEAT1|ORM1,405
Stellate,15,0,,405
Bcells,16,4.17,TMSB4X|PTMA,769
CentralHep,16,0,,769
Cholangiocyte,16,9.43,MAML2|ANK3|NFIB|MAGI1|GLIS3,769
cvLSECs,16,62.86,LDB2|FLT1|ST6GALNAC3|KALRN|PTPRB|PREX2|EGFL7|BTNL9|ENG|HECW2|PLCB1|TACC1|MYO10|NOSTRIN|DNASE1L3|PPFIBP1|LIFR|ST6GAL1|MIR99AHG|ANKS1A|STAB2|ACSM3,769
Erythroid,16,7.14,BNIP3L,769
InfMac,16,13.64,PLXDC2|ZEB2|VIM|HLA-B|TMSB4X|B2M|TMSB10|PTMA|VCAN,769
InterHep,16,0,,769
NKTcell,16,23.08,FYN|HLA-B|HLA-A|TMSB4X|B2M|TMSB10,769
NonInfMac,16,8.7,PLXDC2|ZEB2|TMSB4X|TMSB10,769
PortalEndo,16,72.34,LDB2|RBMS3|TCF4|IGFBP7|FLT1|ST6GALNAC3|CALCRL|KALRN|AKT3|HSPG2|PTPRB|EGFL7|BTNL9|PRSS23|ENG|HECW2|PLCB1|ASAP1|BMPR2|ZEB1|TACC1|CRIM1|PTPRG|TIMP3|TIMP1|NOSTRIN|DNASE1L3|HLA-E|EPAS1|LIFR|PLPP1|MEIS2|ST6GAL1|PLPP3,769
PortalHep,16,0,,769
Stellate,16,80.95,RBMS3|IGFBP7|COL4A2|GRK5|CRISPLD2|ARHGAP10|ADAMTS2|CALD1|ANK3|MYO10|CRIM1|HGF|PTPRG|DMD|LIFR|RBPMS|SORBS1,769
