name,summary.logFC,FDR,p.value,self.average,other.average,self.detected,other.detected,cluster
RPL13,1.230793919,0,0,2.656268109,1.389865509,0.708051629,0.527476474,InfMac
SLC11A1,1.228960452,6.3918E-176,3.4312E-177,1.2170514,0.101374177,0.499078058,0.051931421,InfMac
RPS14,1.225280122,0,0,2.351183693,1.096153108,0.63798402,0.393323044,InfMac
COMMD6,1.224826156,2.09278E-66,3.58291E-67,0.733836244,0.295688035,0.352796558,0.156090552,InfMac
RPL19,1.209015731,7E-303,1E-304,2.039106063,0.935252632,0.613398894,0.354690439,InfMac
SRP14,1.206383796,4.93272E-62,8.98878E-63,0.771177931,0.386622052,0.374308543,0.195052633,InfMac
H3F3A,1.20412876,5.4235E-273,1.2633E-274,1.670194364,0.513769498,0.582052858,0.246946565,InfMac
CYP3A5,1.769944366,0,0,2.624246003,1.276142899,0.786870422,0.434768059,InterHep
ACSM2B,1.46197464,0,0,2.091801885,0.958634759,0.806673298,0.374964411,InterHep
CFH,1.436779277,0,0,2.387422784,1.126514439,0.799439371,0.432935508,InterHep
ECHDC2,1.376755472,0,0,2.027521742,1.011594621,0.823853875,0.41767914,InterHep
CP,1.363009785,0,0,2.278378209,0.996671702,0.795731983,0.413311605,InterHep
C3,1.346865252,0,0,2.688261503,1.772001281,0.885523103,0.649296259,InterHep
ALDOB,1.30481133,0,0,2.406372682,1.124500991,0.892847455,0.482903973,InterHep
AGXT,1.294465357,0,0,2.141738433,1.149892558,0.909847183,0.490357817,InterHep
ESR1,1.281568554,0,0,1.344523337,0.57623644,0.59598517,0.253819558,InterHep
APOA2,1.272643459,0,0,2.550775559,1.696656219,0.889230491,0.61409148,InterHep
CYP2B6,1.264013734,0,0,1.451983981,0.684274566,0.639027037,0.287577991,InterHep
ACSM2A,1.261015741,0,0,1.843091562,0.813028522,0.786779998,0.344355475,InterHep
ASGR1,1.255743307,0,0,1.735804363,0.793811249,0.812460439,0.369083414,InterHep
SORBS2,1.242396568,0,0,1.805285703,0.878171551,0.710462067,0.336532481,InterHep
MT2A,1.239130926,0,0,2.275332398,1.418961814,0.849715164,0.556405554,InterHep
MT1G,1.234989005,0,0,1.529383146,0.725240898,0.658920336,0.326204386,InterHep
GPC6,1.225426557,0,0,1.967199123,0.88289388,0.622479429,0.299258695,InterHep
PLG,1.210359032,0,0,2.062362526,0.970000796,0.797450041,0.41072762,InterHep
CYB5A,1.200176724,0,0,1.960428556,0.899319959,0.873767972,0.424006352,InterHep
RPS21,2.706072042,2.1587E-182,2.2845E-183,1.381363496,0.604511165,0.457812976,0.239235677,NKTcell
RPL4,2.017361923,5.0745E-122,8.0748E-123,1.066640122,0.535716309,0.416996649,0.279821144,NKTcell
S100A4,1.939495194,2.8449E-227,2.2934E-228,0.965842779,0.287365595,0.356076759,0.101821565,NKTcell
CFL1,1.829179707,2.6817E-152,3.4344E-153,0.874010287,0.397589742,0.353030765,0.200832062,NKTcell
TMSB4X,1.773107674,0,0,2.709002734,1.237671516,0.663417606,0.426287628,NKTcell
B2M,1.770590352,0,0,3.211121015,1.584392783,0.800487359,0.621925302,NKTcell
ACTG1,1.711362342,2.0417E-99,3.82816030221781e-100,0.95649064,0.5610171,0.387755102,0.301142878,NKTcell
EEF1B2,1.705337806,1.0185E-75,2.36075E-76,0.910530321,0.410158081,0.367346939,0.223676829,NKTcell
COX7C,1.69174148,4.07664650710237e-80,9.08961E-81,1.01071554,0.640689962,0.402071276,0.281085588,NKTcell
HNRNPA1,1.657469192,9.3541E-122,1.4957E-122,0.75408866,0.298727262,0.319220225,0.192153983,NKTcell
PARP8,1.565860004,0,0,1.31063006,0.236789223,0.431922023,0.171199619,NKTcell
MALAT1,1.55392958,0,0,5.951698234,4.702291097,0.999695401,0.940971828,NKTcell
HLA-B,1.534809327,0,0,2.087830988,0.774082659,0.66128541,0.341213813,NKTcell
CST7,1.492778104,9.9514E-177,1.0913E-177,0.658499726,0.022786712,0.271093512,0.013441122,NKTcell
COX4I1,1.487055883,6.68685E-71,1.63005E-71,0.893098848,0.590505619,0.369479135,0.287600247,NKTcell
HLA-A,1.414820867,0,0,1.738009028,0.550469985,0.614986293,0.284191692,NKTcell
ID2,1.414714019,1.94346E-46,6.40119E-47,0.836851221,0.506201557,0.348157173,0.310508613,NKTcell
ARHGAP15,1.401956245,1.6257E-266,1.0659E-267,0.963183807,0.244771908,0.329576607,0.119402395,NKTcell
CELF2,1.380751944,0,0,1.179311165,0.27471715,0.438014012,0.124165526,NKTcell
PTPRC,1.355642142,0,0,1.337640856,0.229173579,0.51111788,0.10756751,NKTcell
RPS27,1.323951255,0,0,2.695784086,1.287453697,0.596710326,0.38563928,NKTcell
UQCRB,1.259072829,3.05414E-41,1.08177E-41,0.738378995,0.475398793,0.312823637,0.229957794,NKTcell
RPS3,1.241688692,0,0,1.957774595,0.801257277,0.570819373,0.333146589,NKTcell
PPIA,1.234039202,4.02604E-66,1.03854E-66,0.694047809,0.521351226,0.304904051,0.291564174,NKTcell
TMSB10,1.220015981,0,0,1.771915495,0.921454057,0.548279013,0.305398942,NKTcell
FYN,1.212120786,0,0,1.322241816,0.221803471,0.49466951,0.14397877,NKTcell
RPS20,2.129875869,1.21947E-83,2.3052E-84,1.080516635,0.897072332,0.388961892,0.345111222,NonInfMac
CD163,2.054273568,0,0,2.101002422,0.1739587,0.741130092,0.084226289,NonInfMac
RPL30,2.048621975,1.50126E-63,3.50276E-64,0.956588524,0.914427609,0.367279895,0.365688513,NonInfMac
RPS17,1.977915055,7.84395E-81,1.52864E-81,0.93454014,0.793537457,0.348554534,0.299384001,NonInfMac
SAT1,1.942495286,0,0,2.609074468,0.900410238,0.857424442,0.446282202,NonInfMac
RPL3,1.939226668,1.39307E-61,3.32509E-62,1.06895801,1.040999037,0.412286465,0.410168286,NonInfMac
RPS21,1.892892141,3.75428E-76,7.72305E-77,0.773731857,0.659750405,0.303219448,0.253289634,NonInfMac
RPL22,1.870448236,1.50494E-69,3.29060928424719e-70,0.929498586,0.719690061,0.369250986,0.30367619,NonInfMac
RPL6,1.862782506,2.81964E-62,6.66529E-63,0.948033622,0.851418921,0.373193167,0.352875658,NonInfMac
RPL29,1.816730067,3.02746E-52,8.25065E-53,1.006783491,0.916705884,0.394875164,0.378160067,NonInfMac
RPS7,1.804318176,5.33762E-61,1.28887E-61,0.895553296,0.844327455,0.355781866,0.345033089,NonInfMac
RPL14,1.754302392,2.75055E-63,6.44132E-64,0.856679835,0.803209213,0.348883049,0.347409727,NonInfMac
