p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.981985797590047e-148,1.0446119359998547,0.72,0.231,6.524102649927158e-144,11,SEC14L1
1.829686817655045e-147,0.5453019726113777,0.361,0.061,6.022780097675112e-143,11,KCNN3
3.611397461189191e-147,0.7716068720712315,0.536,0.125,1.1887637022996461e-142,11,ADAMTS6
5.526083625910955e-146,0.811582753982427,0.45,0.091,1.8190209471411092e-141,11,PCDH17
3.582735646763539e-144,1.5287277497458327,0.648,0.203,1.1793290928451542e-139,11,MBNL3
2.0216475963678074e-143,1.7335893049605027,0.949,0.574,6.654657392963911e-139,11,ARL15
7.941317631764805e-143,0.8384681868795674,0.841,0.275,2.6140435248480208e-138,11,RBMS3
3.4657452974128146e-140,0.8006841713813515,0.42,0.083,1.1408193795493762e-135,11,VEGFC
1.1419200548375884e-139,0.9276011774938607,0.476,0.106,3.7588582445088894e-135,11,AL096854.1
1.36841576116954e-138,1.2528714790215085,0.683,0.22,4.504414161041775e-134,11,SLC2A2
3.575455480416674e-138,0.9607539843880158,0.648,0.184,1.1769326804887565e-133,11,SLC2A3
4.759767915784937e-138,0.7198765652541109,0.485,0.109,1.5667728048389278e-133,11,SPRY1
2.1121816527612805e-137,1.3181714357260323,0.932,0.45,6.9526683463943075e-133,11,PLCB1
5.722247018760175e-137,1.11544319717974,0.823,0.323,1.883592051165287e-132,11,MID1
1.3656459192666431e-136,0.5924262176513063,0.347,0.06,4.4952966724500096e-132,11,SLC6A11
